# Gene set generated on 2022-09-20T13:31:02 using cellxgene version 1.1.0,,,
# Input data file was BloodGlyco.h5ad, which was last modified on 2022-09-16T10:10:25,,
gene_set_name,gene_set_description,gene_symbol,gene_description
6sulfosLex_synth,,CHST6,
6sulfosLex_synth,,CHST2,
6sulfosLex_synth,,CHST5,
I_Branch_synth,,GCNT3,
I_Branch_synth,,GCNT2,
diLacNAc_synth,,B3GALNT2,
diLacNAc_synth,,B4GALNT3,
diLacNAc_synth,,B4GALNT4,
diLacNAc_synth,,CHST9,
diLacNAc_synth,,CHST8,
Ofuc_POFUT1_synth,,LFNG,
Ofuc_POFUT1_synth,,RFNG,
Ofuc_POFUT1_synth,,POFUT1,
Ofuc_POFUT1_synth,,B4GALT1,
Ofuc_POFUT1_synth,,MFNG,
Ofuc_POFUT2_synth,,POFUT2,
Ofuc_POFUT2_synth,,B3GLCT,
Oman_POMGNT1_synth,,MGAT5B,
Oman_POMGNT1_synth,,POMGNT1,
Oman_POMGNT1_synth,,POMT2,
Oman_POMGNT1_synth,,POMT1,
Oman_POMGNT2_synth,,POMT1,
Oman_POMGNT2_synth,,POMT2,
Oman_POMGNT2_synth,,FKTN,
Oman_POMGNT2_synth,,POMK,
Oman_POMGNT2_synth,,RXYLT1,
Oman_POMGNT2_synth,,LARGE2,
Oman_POMGNT2_synth,,B4GAT1,
Oman_POMGNT2_synth,,LARGE1,
Oman_POMGNT2_synth,,B3GALNT2,
Oman_POMGNT2_synth,,FKRP,
Oman_POMGNT2_synth,,POMGNT2,
Oman_POMT_synth,,POMT1,
Oman_POMT_synth,,POMGNT2,
Oman_POMT_synth,,POMK,
Oman_POMT_synth,,MGAT5B,
Oman_POMT_synth,,POMT2,
Oman_POMT_synth,,FKTN,
Oman_POMT_synth,,POMGNT1,
Oman_POMT_synth,,B3GALNT2,
Oman_POMT_synth,,FKRP,
Oman_POMT_synth,,LARGE1,
Oman_POMT_synth,,RXYLT1,
Oman_POMT_synth,,B4GAT1,
Oman_POMT_synth,,LARGE2,
Sda_synth,,B4GALNT2,
Oman_TMTC_synth,,TMTC1,
Oman_TMTC_synth,,TMTC3,
Oman_TMTC_synth,,TMTC2,
Oman_TMTC_synth,,TMTC4,
ABO_synth,,FUT1,
ABO_synth,,ABO,
ABO_synth,,FUT2,
cMan_synth,,DPY19L2,
cMan_synth,,DPY19L4,
cMan_synth,,DPY19L1,
cMan_synth,,DPY19L3,
CSDS_core_synth,,CSGALNACT2,
CSDS_core_synth,,B4GALT7,
CSDS_core_synth,,XYLT1,
CSDS_core_synth,,CSGALNACT1,
CSDS_core_synth,,B3GAT3,
CSDS_core_synth,,FAM20B,
CSDS_core_synth,,XYLT2,
CSDS_core_synth,,B3GALT6,
CSDS_poly_synth,,CSGALNACT2,
CSDS_poly_synth,,CHSY1,
CSDS_poly_synth,,DSE,
CSDS_poly_synth,,CHSY3,
CSDS_poly_synth,,CHPF2,
CSDS_poly_synth,,DSEL,
CSDS_poly_synth,,CSGALNACT1,
CSDS_poly_synth,,CHPF,
CSDS_sulf_synth,,CHST15,
CSDS_sulf_synth,,UST,
CSDS_sulf_synth,,CHST7,
CSDS_sulf_synth,,CHST14,
CSDS_sulf_synth,,CHST12,
CSDS_sulf_synth,,CHST3,
CSDS_sulf_synth,,CHST13,
CSDS_sulf_synth,,CHST11,
CS_degrad,,ARSB,
CS_degrad,,HEXA,
CS_degrad,,GUSB,
CS_degrad,,ARSK,
CS_degrad,,GALNS,
CS_degrad,,HEXB,
collagen_degrad,,PGGHG,
collagen_synth,,PLOD2,
collagen_synth,,PLOD3,
collagen_synth,,COLGALT2,
collagen_synth,,PLOD1,
collagen_synth,,COLGALT1,
core1_synth,,C1GALT1,
core1_synth,,C1GALT1C1,
core1_synth,,B3GNT3,
core2_synth,,C1GALT1,
core2_synth,,C1GALT1C1,
core2_synth,,A4GNT,
core2_synth,,GCNT1,
core2_synth,,GCNT3,
core2_synth,,GCNT4,
core3_synth,,B3GALT5,
core3_synth,,B3GNT6,
core4_synth,,GCNT3,
CMPSia_synth,,CMAS,
CMPSia_synth,,GNE,
CMPSia_synth,,RENBP,
cyto_degrad,,NEU2,
cyto_degrad,,ENGASE,
cyto_degrad,,MAN2C1,
DS_degrad,,GUSB,
DS_degrad,,IDUA,
DS_degrad,,ARSK,
DS_degrad,,IDS,
DS_degrad,,HEXB,
DS_degrad,,GALNS,
DS_degrad,,ARSB,
DS_degrad,,HEXA,
dolichol_synth,,ALG1L2,
dolichol_synth,,ALG12,
dolichol_synth,,ALG13,
dolichol_synth,,RPN2,
dolichol_synth,,ALG14,
dolichol_synth,,DPM1,
dolichol_synth,,DPM2,
dolichol_synth,,ALG10,
dolichol_synth,,DDOST,
dolichol_synth,,DAD1,
dolichol_synth,,ALG8,
dolichol_synth,,ALG10B,
dolichol_synth,,ALG9,
dolichol_synth,,DPM3,
dolichol_synth,,ALG1L,
dolichol_synth,,DPAGT1,
dolichol_synth,,ALG5,
dolichol_synth,,ALG6,
dolichol_synth,,ALG2,
dolichol_synth,,ALG1,
dolichol_synth,,RPN1,
dolichol_synth,,STT3A,
dolichol_synth,,ALG11,
dolichol_synth,,STT3B,
dolichol_synth,,ALG3,
extracell_degrad,,HPSE,
extracell_degrad,,HYAL3,
extracell_degrad,,HYAL4,
