"","ensembl_gene_id","entrezgene_id","gene_biotype","transcript_biotype"
"1","ENSG00000160072",83858,"protein_coding","protein_coding"
"2","ENSG00000279928",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"3","ENSG00000228037",NA,"lncRNA","lncRNA"
"4","ENSG00000142611",63976,"protein_coding","protein_coding"
"5","ENSG00000284616",NA,"lncRNA","lncRNA"
"6","ENSG00000157911",5192,"protein_coding","protein_coding"
"7","ENSG00000269896",100129534,"transcribed_processed_pseudogene","processed_transcript"
"8","ENSG00000228463",NA,"transcribed_processed_pseudogene","processed_transcript"
"9","ENSG00000260972",NA,"lncRNA","lncRNA"
"10","ENSG00000224340",NA,"processed_pseudogene","processed_pseudogene"
"11","ENSG00000226374",105376672,"lncRNA","lncRNA"
"12","ENSG00000229280",NA,"processed_pseudogene","processed_pseudogene"
"13","ENSG00000142655",5195,"protein_coding","retained_intron"
"14","ENSG00000232596",NA,"lncRNA","lncRNA"
"15","ENSG00000235054",284661,"lncRNA","lncRNA"
"16","ENSG00000231510",NA,"lncRNA","lncRNA"
"17","ENSG00000149527",9651,"protein_coding","protein_coding"
"18","ENSG00000284739",NA,"lncRNA","lncRNA"
"19","ENSG00000171621",80176,"protein_coding","protein_coding"
"20","ENSG00000272235",NA,"lncRNA","lncRNA"
"21","ENSG00000284694",NA,"lncRNA","lncRNA"
"22","ENSG00000224387",NA,"lncRNA","lncRNA"
"23","ENSG00000285629",NA,"protein_coding","nonsense_mediated_decay"
"24","ENSG00000173673",390992,"protein_coding","protein_coding"
"25","ENSG00000142583",6518,"protein_coding","protein_coding"
"26","ENSG00000284674",105376680,"lncRNA","lncRNA"
"27","ENSG00000224338",NA,"processed_pseudogene","processed_pseudogene"
"28","ENSG00000116786",23207,"protein_coding","protein_coding"
"29","ENSG00000284703",NA,"lncRNA","lncRNA"
"30","ENSG00000226457",NA,"processed_pseudogene","processed_pseudogene"
"31","ENSG00000173614",64802,"protein_coding","protein_coding"
"32","ENSG00000215720",NA,"processed_pseudogene","processed_pseudogene"
"33","ENSG00000241326",NA,"lncRNA","lncRNA"
"34","ENSG00000233623",NA,"processed_pseudogene","processed_pseudogene"
"35","ENSG00000162592",148870,"protein_coding","retained_intron"
"36","ENSG00000116254",26038,"protein_coding","protein_coding"
"37","ENSG00000204624",57540,"protein_coding","protein_coding_CDS_not_defined"
"38","ENSG00000142606",79258,"protein_coding","protein_coding"
"39","ENSG00000225931",NA,"TEC","TEC"
"40","ENSG00000171729",55092,"protein_coding","protein_coding"
"41","ENSG00000279457",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"42","ENSG00000162571",254173,"protein_coding","protein_coding"
"43","ENSG00000229393",NA,"lncRNA","lncRNA"
"44","ENSG00000037637",54455,"protein_coding","protein_coding"
"45","ENSG00000159423",8659,"protein_coding","protein_coding"
"46","ENSG00000227169",NA,"lncRNA","lncRNA"
"47","ENSG00000283356",NA,"unprocessed_pseudogene","unprocessed_pseudogene"
"48","ENSG00000011021",1185,"protein_coding","protein_coding"
"49","ENSG00000142615",63036,"protein_coding","protein_coding_CDS_not_defined"
"50","ENSG00000215704",51032,"protein_coding","protein_coding_CDS_not_defined"
"51","ENSG00000157916",11079,"protein_coding","protein_coding"
"52","ENSG00000157881",55229,"protein_coding","protein_coding"
"53","ENSG00000238290",NA,"lncRNA","lncRNA"
"54","ENSG00000225387",NA,"lncRNA","lncRNA"
"55","ENSG00000048707",55187,"protein_coding","protein_coding"
"56","ENSG00000225196",NA,"processed_pseudogene","processed_pseudogene"
"57","ENSG00000162444",116362,"protein_coding","nonsense_mediated_decay"
"58","ENSG00000279625",NA,"TEC","TEC"
"59","ENSG00000180758",80045,"protein_coding","protein_coding"
"60","ENSG00000184677",9923,"protein_coding","protein_coding"
"61","ENSG00000224621",NA,"lncRNA","lncRNA"
"62","ENSG00000285833",NA,"lncRNA","lncRNA"
"63","ENSG00000131697",261734,"protein_coding","retained_intron"
"64","ENSG00000284692",NA,"lncRNA","lncRNA"
"65","ENSG00000284745",NA,"lncRNA","lncRNA"
"66","ENSG00000280222",NA,"TEC","TEC"
"67","ENSG00000285945",NA,"lncRNA","lncRNA"
"68","ENSG00000197921",388585,"protein_coding","protein_coding"
"69","ENSG00000233755",NA,"lncRNA","lncRNA"
"70","ENSG00000233929",NA,"processed_pseudogene","processed_pseudogene"
"71","ENSG00000271742",NA,"lncRNA","lncRNA"
"72","ENSG00000234166",NA,"lncRNA","lncRNA"
"73","ENSG00000235282",NA,"processed_pseudogene","processed_pseudogene"
"74","ENSG00000055070",26099,"protein_coding","protein_coding_CDS_not_defined"
"75","ENSG00000175087",149420,"protein_coding","protein_coding"
"76","ENSG00000157191",55707,"protein_coding","protein_coding"
